,x,y,label
0,-9.518761030850914,-9.014935445163603,1
1,0.30127475100472706,-10.629385255725584,2
2,0.22850454933255404,-9.598750785926894,2
3,-3.3000786315290656,-1.064023797595055,0
4,-9.483235245389869,-8.01504286804631,1
5,-9.753095490795369,-8.787894071456545,1
6,-9.857221923330943,-8.700969172577302,1
7,2.053456810396344,-9.86815220012075,2
8,-0.6663648119499566,-10.880261013375286,2
9,-2.358426301558046,-3.2105485706865142,0
10,-0.801038260527966,-1.4422910860831684,0
11,-9.58781272751552,-8.410720712369415,1
12,-1.569365042315173,-3.6826518919537046,0
13,1.6665923241435994,-10.392051378099493,2
14,-0.32388600419364577,-8.537433435703951,2
15,0.4903378549451587,-11.385318446581973,2
16,-8.125364853524484,-8.745397094055765,1
17,-8.723878457740856,-8.555929693170905,1
18,-2.469565376796561,-1.800213456023021,0
19,-8.590219498566361,-9.258940001711924,1
20,-7.166220073607985,-11.178979478073177,1
21,-8.46361897882599,-9.09196897109542,1
22,-7.621199849136683,-8.78234270560836,1
23,0.9582671290968003,-9.521870227728536,2
24,-2.120315386316321,-2.354152872919626,0
25,-3.348931284663317,-2.2871173181224083,0
26,-8.099079001726116,-9.059737985059634,1
27,1.2256996749455928,-10.380878277216762,2
28,-1.6718617579125732,-1.6367363573897182,0
29,-3.3461100605707785,-2.0959862360346166,0
30,-9.194133340633163,-7.7188781739837244,1
31,-0.8752718594875439,-2.350509122237517,0
32,-1.9277044485831125,-0.8946254962422067,0
33,-0.7004218578403378,-9.267824687701621,2
34,-3.4679279170878567,-0.7451942287622029,0
35,-0.24748677029908706,-0.9827916509114565,0
36,-1.6136478600502926,-1.1842560823815504,0
37,-2.5198004508471863,-1.3898785568973566,0
38,0.7780707387453204,-10.530221808180109,2
39,-2.701188748622431,-2.4975700244202335,0
40,-0.5442049060017675,-9.962354000506481,2
41,-9.05516873902076,-8.252622170087875,1
42,-2.3719726176400715,-2.7086001989106,0
43,-2.8012806291430223,-0.7640567935448421,0
44,1.4392131785543958,-9.414163074612311,2
45,0.9677443592512245,-8.936656204478728,2
46,0.6892029217517744,-9.537280057278032,2
47,-7.307250895084389,-9.180061064989536,1
48,-7.94677933446932,-10.295902833814267,1
49,-2.8138943383379456,-2.0547345342369208,0
50,1.0778873465041316,-10.838294265885052,2
51,-0.5682099629393389,-11.17373968391064,2
52,-7.239651323771412,-12.023920652195269,1
53,-8.30903809669827,-6.859585302741122,1
54,-7.159301735039435,-8.09915735323936,1
55,0.41312043247873875,-10.412186935665712,2
56,-1.7742558846493197,-2.5030824086495187,0
57,0.869918057540993,-9.442503153040498,2
58,-10.044634955929203,-8.134873884252094,1
59,0.13920335187042582,-9.830111994419093,2
60,-0.005109881184371723,-10.763085731877375,2
61,-9.55627081837199,-8.57534740109097,1
62,-3.960132657841519,-2.8478028089635563,0
63,-8.031222498015424,-9.70225959466252,1
64,-2.0725307582761774,-2.607792568256938,0
65,-1.2884970189841725,-2.1751827624100084,0
66,1.3705332242703785,-12.287546488173241,2
67,-8.71072791173153,-7.3436931347666174,1
68,-9.440899907615583,-7.751200649984501,1
69,-0.11837324393726667,-11.956674995800546,2
70,-4.2322570226149345,-3.156924481348094,0
71,0.6599793249500773,-11.70114895944257,2
72,-8.668249306181295,-7.2886802162160835,1
73,2.544944339743126,-10.690926354543036,2
74,-8.923680393556275,-8.419374511729634,1
75,-8.365417681624074,-9.57982067441452,1
76,-9.470477923043868,-9.552351259989484,1
77,-8.946728797607582,-8.00596903551794,1
78,-2.8869035932386193,-1.4800992073669232,0
79,-3.6019392217731903,-1.8271453792117713,0
80,0.7804319373008988,-10.815346743788739,2
81,1.1608430065605018,-11.319749028807141,2
82,1.3055269389213384,-10.187145850729001,2
83,0.36350836690543337,-10.189925200348714,2
84,-1.0901746166146526,-9.194472250525095,2
85,-8.568927074535292,-9.297508835116714,1
86,-7.224689932782745,-11.599238189230404,1
87,-8.332391797853843,-9.641236980770564,1
88,-2.4261709918038616,-1.5531607821728017,0
89,-2.0940769667859964,-3.228295330877332,0
90,-2.467111169755796,-2.1713530597990127,0
91,-2.645220701628721,-2.444882204919994,0
92,-1.825414450607451,-1.0079892261015804,0
93,-8.896541305147792,-9.491403848676157,1
94,0.42503318574573024,-10.721743571380982,2
95,-2.8902839820801556,-1.7711533765428524,0
96,-2.095245694919863,-2.6745612829209904,0
97,-0.9453111159969616,-3.0115659948749505,0
98,1.4899540299804492,-9.363748570707289,2
99,0.5184818483144686,-10.689376454407594,2
